order,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price,sale_price_norm,sale_price_z,gr_liv_area_norm,gr_liv_area_z,total_bsmt_sf_norm,total_bsmt_sf_z,lot_area_norm,lot_area_z,year_built_norm,year_built_z,overall_qual_norm,overall_qual_z,garage_area_norm,garage_area_z,log_sale_price
11,527163010,60,RL,75.0,10000,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,4,PConc,5,4,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,5,Y,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,4,7,Typ,1,4,Attchd,1993.0,Fin,2.0,440.0,4,4,Y,157,84,0,0,0,0,None,None,None,0,4,2010,WD ,Normal,175900,0.21976365211509935,-0.061315847830351204,0.3189280540801545,0.32325294573755614,0.23799126637554585,-0.6726327543007788,0.04066465680431887,-0.014053261284136405,0.8768115942028986,0.7169968142317921,0.5555555555555556,-0.06462690740033272,0.2956989247311828,-0.14929908914218407,12.077670930725649
12,527165230,20,RL,64.0,7980,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,5,PConc,5,4,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,6,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,4,6,Typ,0,1,Attchd,1992.0,Fin,2.0,420.0,4,4,Y,483,21,0,0,0,0,None,GdPrv,Shed,500,3,2010,WD ,Normal,185000,0.23202431653532485,0.0525385320511093,0.20593915982617092,-0.6279796343149701,0.36431690580162196,0.2851196634288585,0.03122297786814368,-0.2735974278141163,0.8695652173913043,0.6839263812778613,0.5555555555555556,-0.06462690740033272,0.28225806451612906,-0.2427217338289761,12.128111104060462
13,527166040,60,RL,63.0,8402,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,5,4,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,5,Y,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,4,7,Typ,1,5,Attchd,1998.0,Fin,2.0,393.0,4,4,Y,0,75,0,0,0,0,None,None,None,0,5,2010,WD ,Normal,180400,0.2258266180371889,-0.00501423140545315,0.273056494447127,-0.06293122137778569,0.24610106051154085,-0.6111474139033206,0.03319544742807731,-0.2193758247073581,0.9130434782608695,0.882348979001446,0.5555555555555556,-0.06462690740033272,0.26411290322580644,-0.36884230415614533,12.10293188661066
14,527180040,20,RL,85.0,10176,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,4,PConc,5,4,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,5,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,5,5,Typ,1,2,Attchd,1990.0,Unf,2.0,506.0,4,4,Y,192,0,0,0,0,0,None,None,None,0,2,2010,WD ,Normal,171500,0.21383541876905623,-0.11636631722358486,0.24311926605504589,-0.3149672041267456,0.4054897067997505,0.5972760069851848,0.04148729813737175,0.008560487878871743,0.855072463768116,0.6177855153699997,0.6666666666666666,0.6465120323018231,0.3400537634408602,0.15899563832422964,12.052338545588132
15,527182190,120,RL,60.0,6820,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,5,4,PConc,5,4,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,4,Y,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,5,4,Typ,0,1,Attchd,1985.0,RFn,2.0,528.0,4,4,Y,0,54,0,0,140,0,None,None,None,0,6,2010,WD ,Normal,212000,0.26840211206786213,0.3903482306004976,0.28198937711250605,0.012273063797307188,0.4641297567061759,1.041862314474498,0.025801023627567834,-0.4226425927521245,0.8188405797101449,0.4524333506003457,0.7777777777777778,1.3576509720039789,0.3548387096774194,0.26176054747970084,12.26434155365415
16,527216070,60,RL,47.0,53504,Pave,None,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,6,4,PConc,5,4,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,6,Y,SBrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,6,12,Mod,1,5,BuiltIn,2003.0,Fin,3.0,841.0,4,4,Y,503,36,0,0,210,0,None,None,None,0,6,2010,WD ,Normal,538000,0.7076303099792377,4.469087553826445,0.7110091743119266,3.6241113004497407,0.5146600124766063,1.4249632815663529,0.24400663721984622,5.575654372735786,0.9492753623188406,1.0477011437711001,0.7777777777777778,1.3576509720039789,0.5651881720430108,1.723824936827996,13.195613839143922
17,527225035,50,RL,152.0,12134,Pave,None,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,4,Wood,5,4,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,5,Y,SBrkr,1080,672,0,1752,0.0,0.0,2,0,4,1,4,8,Typ,0,1,Basment,1988.0,RFn,2.0,492.0,4,4,Y,325,12,0,0,0,0,None,None,None,0,6,2010,WD ,Normal,164000,0.20373047556557367,-0.21020234459841494,0.3423466924191212,0.520410125791178,0.1743605739238927,-1.155056194342374,0.05063918296758513,0.2601384473173374,0.8405797101449275,0.5516446494621381,0.7777777777777778,1.3576509720039789,0.33064516129032256,0.09359978704347521,12.007621706806335
18,527258010,20,RL,88.0,11394,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,5,4,PConc,6,4,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,6,Y,SBrkr,1856,0,0,1856,1.0,0.0,1,1,1,1,6,8,Typ,1,6,Attchd,2010.0,Fin,3.0,834.0,4,4,Y,113,0,0,0,0,0,None,None,None,0,6,2010,New,Partial,394432,0.514197445200893,2.6728407834064978,0.3674553355866731,0.7317951435806282,0.578914535246413,1.9121163631769833,0.0471803500899764,0.1650579110637804,1.0,1.2791941744486157,0.8888888888888888,2.068789911706135,0.5604838709677419,1.6911270111876189,12.885202034321916
19,527276150,20,RL,140.0,19138,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,4,4,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,6,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,4,4,Typ,0,1,Detchd,1951.0,Unf,2.0,400.0,4,4,Y,0,0,0,0,0,0,None,None,None,0,6,2010,WD ,Normal,141000,0.1727419830748938,-0.4979661618812272,0.12795750845002415,-1.284492718411051,0.2694946974422957,-0.4337858550644989,0.08337656874430344,1.160062874236139,0.572463768115942,-0.6719613698333015,0.3333333333333333,-1.4869047868046443,0.26881720430107525,-0.3361443785157681,11.856515169360305
20,527302110,20,RL,85.0,13175,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,4,4,CBlock,5,4,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,4,Y,SBrkr,2073,0,0,2073,1.0,0.0,2,0,3,1,4,7,Min1,2,4,Attchd,1978.0,Unf,2.0,500.0,4,4,Y,349,0,0,0,0,0,None,MnPrv,None,0,2,2010,WD ,Normal,210000,0.2657074605469334,0.3653252899672096,0.41984548527281507,1.172858113391308,0.4809731752963194,1.1695626368384495,0.055504919488653624,0.3938936341280844,0.7681159420289855,0.2209403199228301,0.5555555555555556,-0.06462690740033272,0.33602150537634407,0.13096884491819202,12.254862809699606
21,527358140,20,RL,105.0,11751,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,4,4,CBlock,5,4,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,6,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,1977.0,RFn,2.0,546.0,4,4,Y,0,122,0,0,0,0,None,MnPrv,None,0,1,2010,COD,Normal,190000,0.23876094533764658,0.11509588363432936,0.3645581844519556,0.7074045646049224,0.5751715533374921,1.8837385137627718,0.048849003248498446,0.21092784544556398,0.7608695652173914,0.18786988696889928,0.5555555555555556,-0.06462690740033272,0.36693548387096775,0.34584092769781366,12.154779351142624
22,527358200,85,RL,85.0,10625,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,4,4,CBlock,5,4,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,4,Y,SBrkr,1173,0,0,1173,1.0,0.0,2,0,3,1,5,6,Typ,2,4,Attchd,1974.0,RFn,2.0,528.0,4,4,Y,0,120,0,0,0,0,None,MnPrv,None,0,1,2010,WD ,Family,170000,0.21181443012835974,-0.13513352269855086,0.20255915016900047,-0.6564353097866268,0.32844666250779786,0.013165273209331882,0.04358596835635327,0.06625124568677321,0.7391304347826086,0.08865858810710689,0.6666666666666666,0.6465120323018231,0.3548387096774194,0.26176054747970084,12.043553716032399
23,527368020,60,FV,72.5,7500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,4,PConc,5,4,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,6,Y,SBrkr,814,860,0,1674,1.0,0.0,2,1,3,1,5,7,Typ,0,1,Attchd,2000.0,RFn,2.0,663.0,4,4,Y,0,96,0,0,0,0,None,None,None,0,1,2010,WD ,Normal,216000,0.2737914151097195,0.44039411186707367,0.3235152100434573,0.3618713624490903,0.25389893948845915,-0.5520268942903801,0.02897941059618126,-0.3352712891677749,0.927536231884058,0.9484898449093077,0.6666666666666666,0.6465120323018231,0.44556451612903225,0.8923633991155471,12.283033686666302
24,527402200,20,RL,73.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,4,4,CBlock,4,4,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,6,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,4,5,Typ,1,4,Attchd,1970.0,Fin,2.0,480.0,4,4,Y,0,0,0,0,0,0,None,None,Shed,700,3,2010,WD ,Normal,149000,0.18352058915860853,-0.3978743993480751,0.16175760502172865,-0.9999359636944835,0.31316281971303805,-0.10271094523203166,0.046465213022038376,0.14539936775730172,0.7101449275362319,-0.0436231437086163,0.5555555555555556,-0.06462690740033272,0.3225806451612903,0.03754620023139999,11.911701584927597
25,527402250,20,RL,73.0,12537,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,4,4,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,6,Y,SBrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,4,6,Typ,1,3,Attchd,1971.0,Fin,2.0,500.0,4,4,Y,0,0,0,0,0,0,None,None,None,0,4,2010,WD ,Normal,149900,0.18473318234302644,-0.3866140760630955,0.1796233703524867,-0.8495273933442977,0.33624454148471616,0.07228579282227246,0.05252284465633691,0.3119187934121799,0.717391304347826,-0.010552710754685505,0.4444444444444444,-0.7757658471024885,0.33602150537634407,0.13096884491819202,11.917723684090689
26,527403020,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,4,4,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,6,Y,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,Unf,1.0,304.0,4,4,Y,0,85,184,0,0,0,None,None,None,0,7,2010,WD ,Normal,142000,0.17408930883535814,-0.4854546915645832,0.1743119266055046,-0.8942434547997583,0.32938240798502805,0.020259735562884754,0.03341980415527355,-0.21320843857199226,0.6956521739130435,-0.1097640096164779,0.4444444444444444,-0.7757658471024885,0.20430107526881722,-0.7845730730123699,11.863582336583399
27,527404120,20,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,4,4,CBlock,4,4,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,4,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,4,4,Typ,0,1,Attchd,1970.0,Fin,2.0,525.0,4,4,Y,240,0,0,0,0,0,None,MnPrv,None,0,4,2010,WD ,Normal,126000,0.15253209666792866,-0.6856382166308874,0.13230323515210043,-1.2479068499474923,0.27510917030567683,-0.3912190809431817,0.0331860992311108,-0.21963279912966502,0.7101449275362319,-0.0436231437086163,0.3333333333333333,-1.4869047868046443,0.3528225806451613,0.24774715077668205,11.744037185933616
28,527425090,20,RL,70.0,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,4,CBlock,4,4,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,4,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,4,5,Typ,1,2,None,1971.0,None,0.0,0.0,1,1,Y,0,0,0,0,0,0,None,None,None,0,4,2010,ConLI,Normal,115000,0.1377115133028209,-0.8232643901139716,0.12795750845002415,-1.284492718411051,0.2694946974422957,-0.4337858550644989,0.043001706045946386,0.05019034429259129,0.717391304347826,-0.010552710754685505,0.3333333333333333,-1.4869047868046443,0.0,-2.2045972722516085,11.652687407345388
29,527427230,120,RH,26.0,5858,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,4,PConc,5,4,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,6,Y,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,5,5,Typ,1,3,Attchd,1999.0,Fin,2.0,511.0,4,4,Y,203,68,0,0,0,0,None,None,None,0,6,2010,WD ,Normal,184000,0.2306769907748605,0.04002706173446529,0.24215354901014002,-0.32309739711864754,0.4382407985028072,0.8455821893595352,0.021304540886676483,-0.5462472898817486,0.9202898550724637,0.9154194119553769,0.6666666666666666,0.6465120323018231,0.34341397849462363,0.18235129949592763,12.122691036591123
30,527451180,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,4,4,CBlock,4,4,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,4,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,4,5,Typ,0,1,Detchd,1971.0,Unf,1.0,264.0,4,4,Y,275,0,0,0,0,0,None,None,None,0,2,2010,COD,Normal,96000,0.11211232385399839,-1.0609823261302078,0.1576533075808788,-1.0344892839100666,0.15065502183406113,-1.3347825739657133,0.0017761574236369161,-1.083066858080885,0.717391304347826,-0.010552710754685505,0.5555555555555556,-0.06462690740033272,0.1774193548387097,-0.9714183623859539,11.472103470449973
31,527451330,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,4,4,CBlock,4,4,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,4,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,4,6,Typ,0,1,Detchd,1997.0,Unf,1.0,320.0,4,4,Y,0,0,0,0,0,0,None,None,None,0,3,2010,WD ,Normal,105500,0.12491191857840965,-0.9421233581220896,0.18300338000965716,-0.8210717178726409,0.16375545851528384,-1.2354601010159731,0.0017761574236369161,-1.083066858080885,0.717391304347826,-0.010552710754685505,0.4444444444444444,-0.7757658471024885,0.21505376344086022,-0.7098349572629362,11.566466231898259
